term,estimate,std.error,statistic,p.value
(Intercept),20.0015006729795,0.156694793500729,127.646236522125,0
educationCertificate with less than Grade 12/Standard 10,-1.04366852049268,0.425267870499412,-2.45414383002188,0.0141232521122484
educationDegree,-0.00701197706279408,0.182323035622037,-0.0384590846618538,0.969321707649725
educationDiploma with Grade 12/Standard 10/Occupational Certificate-NQF Level 6,-0.454303588516423,0.166518613016973,-2.72824509095639,0.00636801879203788
educationDiploma with less than Grade 12/Standard 10,-0.186927823875133,0.470818487374519,-0.397027365933569,0.691347883185553
educationDiploma/certificate with Grade 12/Std 10,-0.0876255280381695,0.161416843225299,-0.542852445180489,0.587232261024403
educationDiploma/certificate with less than Grade 12/Std 10,-0.107032926006656,0.231602624774192,-0.462140384250875,0.64398136663757
educationDo not know,0.944752575865837,0.231118529461304,4.08774051162356,4.35836679687321e-05
educationDoctoral Degrees (Doctoral Diploma and PhD)-NQF Level 10,0.604146702383372,0.473744397782218,1.2752587792312,0.202219769902259
educationDon't know,0.196444574825932,0.223449434138723,0.879145546208788,0.379323867669854
educationGrade 1/Sub A/Class 1,-0.609528111148251,0.166659242054399,-3.65733159250355,0.00025494753833096
educationGrade 10/Standard 8/Form 3,-0.193804810837331,0.149611809909441,-1.29538444160685,0.19518976947955
educationGrade 10/Standard 8/Form 3/NCV Level 2/Occupational Certificate-NQF Level 2,0.0519183681961234,0.14269252963368,0.363847836529412,0.715972186091445
educationGrade 11/Standard 9/Form 4,-0.0177878578311518,0.151844658896498,-0.117145100528538,0.906745238032022
educationGrade 11/Standard 9/Form 4/NCV Level 3/Occupational Certificate-NQF Level 3,-0.292551905582457,0.142815300262519,-2.0484633302223,0.0405164745549801
educationGrade 12/Standard 10/Form 5/Matric,-0.2216140525247,0.146614963444195,-1.51153775384633,0.130653744841902
educationGrade 12/Standard 10/Form 5/National Senior Certificate/Matric/ NCV Level 4/Occupational Certificate-NQF Level 4,-0.173720316897279,0.137297811689605,-1.26528103222808,0.205772700567943
educationGrade 2/Sub B/Class 2,-0.250646213696326,0.161379335230968,-1.55314937527532,0.120389703469709
educationGrade 3/Standard 1,-0.858082746988485,0.172225338583336,-4.98232579507037,6.28988815323198e-07
educationGrade 3/Standard 1/ABET/AET 1,-0.0361496757775492,0.159912444320035,-0.22605917839141,0.821155722313277
educationGrade 4/Standard 2,-0.375000489712897,0.148103187506077,-2.53202173449178,0.0113417754299794
educationGrade 5/Standard 3,-0.71041171250442,0.160574556718485,-4.42418604181417,9.68791630937714e-06
educationGrade 5/Standard 3/ABET/AET 2,0.138256423162189,0.157433943428421,0.878186877311173,0.379843813054209
educationGrade 6/Standard 4,-0.303948371950536,0.145322420857871,-2.09154492580195,0.0364810334676867
educationGrade 7/Standard 5,-0.65358846731342,0.151348685021598,-4.31842845030433,1.57251588545125e-05
educationGrade 7/Standard 5/ABET/AET 3,0.118796538282,0.149444732328753,0.794919542702031,0.426661647445732
educationGrade 8/Standard 6/Form 1,-0.167412405410095,0.142508895299301,-1.1747505659804,0.240096512398294
educationGrade 9/Standard 7/Form 2,-0.182699769895051,0.151453746391402,-1.20630736609777,0.227701028461548
educationGrade 9/Standard 7/Form 2/ABET/AET 4/NCV Level 1/Occupational Certificate-NQF Level 1,0.110667230314353,0.147085470279486,0.75240083268638,0.451811305723022
educationGrade R/0,-0.907352401808424,0.163966969529543,-5.53375112324036,3.14010464525866e-08
educationHigher Diploma/Occupational Certificate (B-Tech Diploma)-NQF Level 7,0.208446899563918,0.193304833557155,1.07833257828126,0.280887213498489
educationHigher/National/Advance certificate with Grade 12/Std 10/Occupational Certificate-NQF Level 5,-0.688602597428549,0.254479891930758,-2.70592144708987,0.00681233698377843
educationHonours Degree/Postgraduate Diploma/Occupational Certificate-NQF Level 8,0.21218607677516,0.208632402817579,1.01703318329075,0.309139394085291
educationN4/NTC 4/Occupational Certificate-NQF Level 5,-0.141828055503197,0.363179367694745,-0.390517931686044,0.69615418995812
educationN5/NTC 5/Occupational Certificate-NQF Level 5,0.594355814975571,0.343276410604669,1.73142050142226,0.0833789864432347
educationN6/NTC 6/Occupational Certificate-NQF Level 5,-1.26446803752153,0.303089234356412,-4.17193319388771,3.02207269615879e-05
educationNo schooling,-1.13124104092564,0.141520019039346,-7.99350543198502,1.3214028603148e-15
educationNTC II,0.0429519394272758,0.442938766776574,0.0969703775080528,0.922750057110086
educationNTC III,-0.118447258177834,0.287097923462821,-0.412567449980783,0.679924182517172
educationNTC l,0.521224437557575,0.417914072900558,1.24720479963736,0.212324491148144
educationNTC l/N1,0.685819508664669,0.263539640953259,2.60233908714441,0.00925999660490044
educationNTC ll/N2,0.857904009227201,0.526120223469821,1.63062351712928,0.102972023873998
educationNTC lll/N3,0.689063116122941,0.368550150762862,1.86965902658471,0.0615332597176834
educationOther,-0.449239794624448,0.259620991321927,-1.73036776547623,0.0835667836576682
educationPost Higher Diploma (Masters Diploma and Masters Degree)-NQF Level 9,0.104626331408678,0.252840546505603,0.413803612018216,0.679018569712207
educationPostgraduate degree or diploma,0.425532884910772,0.215853471561146,1.97139699367878,0.0486804425019749
educationSub A/Grade 1,-1.10295357435374,0.222530955812608,-4.95640514519036,7.18926789844536e-07
educationSub B/Grade 2,-0.855177044578569,0.196722170169174,-4.34713100126512,1.3802656217716e-05
educationUnspecified,0.130013425119469,0.213131674443439,0.610014562401292,0.541853147011955
age,-0.301940299548834,0.00262962713938145,-114.822476170465,0
age2,0.00340491684462887,3.21231461397596e-05,105.995746176758,0
SexMale,-0.620461999805807,0.0217020967920762,-28.5899563415618,2.93369765091888e-179
